code_insee,nom_commune,departement,strate_perso,taux_tfpb,evol_2021_2024,rank_tfpb_dep_strate,ecart_tfpb_2024_vs_dep_strate_mean
62418,Hauteville,62,< 500 hab,33.46,0.0,0.2962138084632517,-2.093229398663695
62419,Haut-Loquin,62,< 500 hab,36.87,0.0,0.6859688195991092,1.3167706013363016
62421,Havrincourt,62,< 500 hab,38.46,0.75,0.799554565701559,2.906770601336305
62422,Hébuterne,62,500-1999 hab,35.52,0.0,0.3146853146853147,-2.618881118881113
62423,Helfaut,62,500-1999 hab,35.22,0.73,0.2674825174825175,-2.918881118881117
62424,Hendecourt-lès-Cagnicourt,62,< 500 hab,36.58,0.0,0.6514476614699332,1.0267706013363025
62425,Hendecourt-lès-Ransart,62,< 500 hab,27.01,0.0,0.010022271714922,-8.543229398663694
62426,Héninel,62,< 500 hab,34.52,0.0,0.4220489977728285,-1.033229398663693
62427,Hénin-Beaumont,62,20 000-49 999 hab,60.55,-3.03,0.5714285714285714,1.6614285714285657
62428,Hénin-sur-Cojeul,62,500-1999 hab,37.0,1.94,0.451048951048951,-1.138881118881116
62429,Henneveux,62,< 500 hab,43.65,0.0,0.9688195991091314,8.096770601336303
62430,Hénu,62,< 500 hab,36.1,0.0,0.5979955456570156,0.5467706013363056
62432,Herbinghen,62,< 500 hab,35.51,0.0,0.5167037861915368,-0.0432293986636977
62433,Héricourt,62,< 500 hab,36.14,0.0,0.6035634743875279,0.5867706013363048
62434,La Herlière,62,< 500 hab,33.16,0.0,0.2728285077951002,-2.393229398663699
62435,Herlincourt,62,< 500 hab,33.81,0.0,0.3340757238307349,-1.7432293986636935
62436,Herlin-le-Sec,62,< 500 hab,34.01,0.0,0.3518930957683742,-1.5432293986636978
62437,Herly,62,< 500 hab,28.91,0.0,0.0289532293986636,-6.643229398663696
62438,Hermaville,62,500-1999 hab,37.66,0.0,0.513986013986014,-0.4788811188811195
62439,Hermelinghen,62,< 500 hab,30.73,0.0,0.0935412026726058,-4.823229398663695
62440,Hermies,62,500-1999 hab,40.23,0.0,0.7027972027972028,2.091118881118881
62441,Hermin,62,< 500 hab,41.1,0.0,0.9242761692650334,5.546770601336306
62442,Hernicourt,62,500-1999 hab,36.08,0.0,0.3776223776223776,-2.058881118881118
62443,Hersin-Coupigny,62,5000-9999 hab,47.14,0.0,0.4375,-2.289791666666666
62444,Hervelinghen,62,< 500 hab,33.2,0.0,0.2783964365256124,-2.353229398663693
62445,Hesdigneul-lès-Béthune,62,500-1999 hab,40.08,0.0,0.6958041958041958,1.9411188811188824
62446,Hesdigneul-lès-Boulogne,62,500-1999 hab,45.05,4.0,0.9090909090909092,6.911118881118881
62447,Hesdin,62,2000-3499 hab,34.83,0.0,0.0816326530612244,-9.978775510204088
62448,Hesdin-l'Abbé,62,500-1999 hab,47.39,3.67,0.951048951048951,9.251118881118884
62449,Hesmond,62,< 500 hab,34.84,0.0,0.44543429844098,-0.7132293986636924
62450,Hestrus,62,< 500 hab,33.64,0.66,0.309576837416481,-1.9132293986636952
62451,Heuchin,62,< 500 hab,42.09,0.0,0.9510022271714922,6.536770601336308
62452,Heuringhem,62,500-1999 hab,40.0,2.02,0.6853146853146853,1.861118881118884
62453,Hézecques,62,< 500 hab,34.73,0.0,0.4342984409799554,-0.8232293986636989
